"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"503","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","182","105065","0.0-3.0-3.0-2.46","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","183","105566","0.0-3.0-3.0-0.47","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","184","106067","0.0-3.0-3.0-1.47","1","vt567bbuv005"," ","女性","","","","",""
"470.00000000001455","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","185","106538","0.0-3.0-3.0-2.47","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","186","107040","0.0-3.0-3.0-0.48","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","187","107542","0.0-3.0-3.0-1.48","1","vt567bbuv005"," ","女性","","","","",""
"469","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","188","108012","0.0-3.0-3.0-2.48","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","189","108514","0.0-3.0-3.0-0.49","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","190","109015","0.0-3.0-3.0-1.49","1","vt567bbuv005"," ","女性","","","","",""
"447","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","191","109462","0.0-3.0-3.0-2.49","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","192","109964","0.0-3.0-3.0-0.50","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","193","110466","0.0-3.0-3.0-1.50","1","vt567bbuv005"," ","女性","","","","",""
"441","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","194","110908","0.0-3.0-3.0-2.50","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","195","111409","0.0-3.0-3.0-0.51","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","196","111910","0.0-3.0-3.0-1.51","1","vt567bbuv005"," ","女性","","","","",""
"440","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","197","112352","0.0-3.0-3.0-2.51","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","198","112853","0.0-3.0-3.0-0.52","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","199","113354","0.0-3.0-3.0-1.52","1","vt567bbuv005"," ","女性","","","","",""
"494","<p style=""font-size: 48px"">>><>></p>","f","flanker","html-keyboard-response","200","113849","0.0-3.0-3.0-2.52","1","vt567bbuv005"," ","女性","","","不一致","f","1"
"null","","null","","html-keyboard-response","201","114351","0.0-3.0-3.0-0.53","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","202","114853","0.0-3.0-3.0-1.53","1","vt567bbuv005"," ","女性","","","","",""
"479","<p style=""font-size: 48px"">>>>>></p>","j","flanker","html-keyboard-response","203","115333","0.0-3.0-3.0-2.53","1","vt567bbuv005"," ","女性","","","一致","j","1"
"null","","null","","html-keyboard-response","204","115834","0.0-3.0-3.0-0.54","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","205","116336","0.0-3.0-3.0-1.54","1","vt567bbuv005"," ","女性","","","","",""
"545","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","206","116882","0.0-3.0-3.0-2.54","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","207","117382","0.0-3.0-3.0-0.55","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","208","117884","0.0-3.0-3.0-1.55","1","vt567bbuv005"," ","女性","","","","",""
"432.99999999998545","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","209","118319","0.0-3.0-3.0-2.55","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","210","118820","0.0-3.0-3.0-0.56","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","211","119321","0.0-3.0-3.0-1.56","1","vt567bbuv005"," ","女性","","","","",""
"465.00000000001455","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","212","119788","0.0-3.0-3.0-2.56","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","213","120288","0.0-3.0-3.0-0.57","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","214","120790","0.0-3.0-3.0-1.57","1","vt567bbuv005"," ","女性","","","","",""
"453","<p style=""font-size: 48px""><<<<<</p>","f","flanker","html-keyboard-response","215","121245","0.0-3.0-3.0-2.57","1","vt567bbuv005"," ","女性","","","一致","f","1"
"null","","null","","html-keyboard-response","216","121746","0.0-3.0-3.0-0.58","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","217","122247","0.0-3.0-3.0-1.58","1","vt567bbuv005"," ","女性","","","","",""
"469","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","218","122716","0.0-3.0-3.0-2.58","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"null","","null","","html-keyboard-response","219","123218","0.0-3.0-3.0-0.59","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","220","123719","0.0-3.0-3.0-1.59","1","vt567bbuv005"," ","女性","","","","",""
"488","<p style=""font-size: 48px""><<><<</p>","j","flanker","html-keyboard-response","221","124208","0.0-3.0-3.0-2.59","1","vt567bbuv005"," ","女性","","","不一致","j","1"
"1083","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","222","125292","0.0-4.0","1","vt567bbuv005"," ","女性","","","","",""
"25633","","{""Q0"":2,""Q9"":2,""Q17"":1,""Q19"":1,""Q8"":1,""Q2"":1,""Q12"":2,""Q4"":2,""Q10"":3,""Q6"":2,""Q1"":1,""Q3"":2,""Q7"":2,""Q5"":3,""Q18"":2,""Q15"":1,""Q11"":1,""Q14"":1,""Q13"":1,""Q16"":1}","bis_bas","survey-likert","223","150929","0.0-5.0","1","vt567bbuv005"," ","女性","","[0,9,17,19,8,2,12,4,10,6,1,3,7,5,18,15,11,14,13,16]","","",""
